Chr	Start	End	Peak_score	Distance_to_TSS	EntrezID	Refseq	Ensembl	Gene	Peak_type	Peak_bin_distance	Peak_bin	Annotation_method	Interaction_score	Promoter_bin	TSS_bin_distance
chr2	91924126	91924415	180.374	2082	12672.0	NM_007699	ENSMUSG00000040495	Chrm4	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	111272281	111273070	0.0	1580	93835.0	NM_033603	ENSMUSG00000021278	Amn	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	24335631	24336436	0.0	-2069	69301.0	NM_027028	ENSMUSG00000055826	Tescl	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	31632588	31633144	248.765	7050	14238.0	NM_010225	ENSMUSG00000038402	Foxf2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr19	46137091	46137677	0.0	5485	12686.0	NM_007703	ENSMUSG00000038754	Elovl3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	91779199	91779522	286.645	49223	12672.0	NM_007699	ENSMUSG00000040495	Chrm4	Distal	4361.0	1.0	Interaction_anno	nan	1.0	2811.0
chr5	24360806	24361470	0.0	-3681	18127.0	NM_008713	ENSMUSG00000028978	Nos3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	9703162	9703499	73.754	-3122	17864.0	NM_008651	ENSMUSG00000025912	Mybl1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	59847147	59847791	158.15	-604	103850.0	NM_134029	ENSMUSG00000032615	Nt5m	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	44292601	44293283	0.0	-7975	17279.0	NM_010790	ENSMUSG00000035683	Melk	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr15	97908187	97908514	85.691	-55	22337.0	NM_009504	ENSMUSG00000022479	Vdr	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	127170672	127171646	0.0	5328	14421.0	NM_008080	ENSMUSG00000006731	B4galnt1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	24357538	24358036	0.0	-6183	16511.0	NM_013569	ENSMUSG00000038319	Kcnh2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	91646810	91647273	229.833	2749	381410.0	NM_001033451	ENSMUSG00000075040	Zfp408	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	31618550	31618907	189.354	-7087	14238.0	NM_010225	ENSMUSG00000038402	Foxf2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	9696632	9697462	0.0	3162	17864.0	NM_008651	ENSMUSG00000025912	Mybl1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19956547	19957355	0.0	-3297	70080.0	NM_027308	ENSMUSG00000040498	Igsf23	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	168274342	168274910	0.0	-5295	241794.0	NM_001081134	ENSMUSG00000074575	Kcng1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	59809288	59810385	216.296	202	216805.0	NM_146018	ENSMUSG00000032633	Flcn	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr15	97849208	97851213	0.0	-5709	56233.0, 19011.0	NM_019572, NM_008902	ENSMUSG00000022475, ENSMUSG00000022468	Hdac7, Endou	Proximal, Proximal	nan, -24789.0	nan, -5.0	Proximal_anno, Interaction_anno	nan, nan	nan, -1.0	nan, -3850.0
chr5	24335961	24336189	173.391	-6484	16511.0	NM_013569	ENSMUSG00000038319	Kcnh2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	38901989	38902469	0.0	-116	207683.0	NM_170599	ENSMUSG00000022790	Igsf11	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	9545197	9545681	293.624	31	59014.0	NM_021511	ENSMUSG00000061024	Rrs1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	31082369	31082874	0.0	-108575	14238.0	NM_010225	ENSMUSG00000038402	Foxf2	Distal	7622.0	2.0	Interaction_anno	nan	-0.0	-816.0
chr15	97828885	97829472	112.575	2588	56233.0	NM_019572	ENSMUSG00000022475	Hdac7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	44173132	44173457	251.232	-5012	73469.0	NM_175201	ENSMUSG00000035696	Rnf38	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19889893	19890453	0.0	-2208	12051.0, 319930.0	NM_033601, NM_177036	ENSMUSG00000053175, ENSMUSG00000049848	Bcl3, Ceacam19	Promoter, Promoter	15173.5, nan	3.0, nan	Interaction_anno, Proximal_anno	nan, nan	-0.0, nan	-2245.0, nan
chr11	59778603	59779144	0.0	8348	194908.0	NM_183139	ENSMUSG00000043648	Pld6	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	9541340	9541517	93.654	-3979	59014.0	NM_021511	ENSMUSG00000061024	Rrs1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	52257040	52257207	133.503	3756	15398.0	NM_008264	nan	Hoxa13	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	106186712	106187254	0.0	-117	18655.0	NM_008828	ENSMUSG00000062070	Pgk1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19875903	19876661	222.285	11683	12051.0	NM_033601	ENSMUSG00000053175	Bcl3	Distal	1282.5	0.0	Interaction_anno	nan	-0.0	-2245.0
chr15	97825031	97825607	0.0	6448	56233.0	NM_019572	ENSMUSG00000022475	Hdac7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	30981668	30982321	286.645	-7948	66482.0	NM_025588	ENSMUSG00000021357	Exoc2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	44119411	44120025	209.311	4405	623796.0	NR_040414	ENSMUSG00000084274	Gm12504	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	59746682	59747158	119.55	-6766	69320.0	NR_045476	ENSMUSG00000086330	1700007J10Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	91194502	91195086	0.0	241	22259.0	NM_013839	ENSMUSG00000002108	Nr1h3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr15	97821233	97821728	153.443	-6618	56233.0	NM_019572	ENSMUSG00000022475	Hdac7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	144099983	144100479	0.0	-130	231876.0	NM_001081109	ENSMUSG00000038970	Lmtk2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19872258	19872760	280.663	-11210	12051.0	NM_033601	ENSMUSG00000053175	Bcl3	Distal	-2490.5	-0.0	Interaction_anno	nan	-0.0	-2245.0
chr5	24266496	24267165	0.0	9303	735274.0	NR_030454	ENSMUSG00000106252	Mir684-1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	52240388	52240843	0.0	238	15395.0	NM_008263	ENSMUSG00000000938	Hoxa10	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr15	97790040	97790830	0.0	6070	67739.0	NM_026353	ENSMUSG00000081534	Slc48a1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	91101470	91102034	0.0	5074	20375.0	NM_011355	ENSMUSG00000002111	Spi1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	136847849	136848342	0.0	9504	109978.0	NM_026639	ENSMUSG00000030217	Art4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19849559	19850244	0.0	-2101	12051.0, 100502736.0	NM_033601, NM_001270489	ENSMUSG00000053175, ENSMUSG00000092216	Bcl3, Gm19345	Promoter, Promoter	-25098.0, nan	-5.0, nan	Interaction_anno, Proximal_anno	nan, nan	-0.0, nan	-2245.0, nan
chr4	44065506	44066064	0.0	6932	50798.0	NM_015828	ENSMUSG00000028479	Gne	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr1	7088678	7089151	69.778	-5	319263.0	NM_183028	ENSMUSG00000051285	Pcmtd1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr15	97783865	97784539	0.0	-163	67739.0	NM_026353	ENSMUSG00000081534	Slc48a1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	52221608	52222153	0.0	-3308	15404.0	NM_010455	ENSMUSG00000038236	Hoxa7	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	24261058	24261738	0.0	3870	735274.0	NR_030454	ENSMUSG00000106252	Mir684-1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19843603	19844610	0.0	-7896	100502736.0	NM_001270489	ENSMUSG00000092216	Gm19345	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr18	73815269	73816239	128.519	-316	107029.0	NM_145494	ENSMUSG00000024556	Me2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr15	97782859	97783341	0.0	-1265	67739.0	NM_026353	ENSMUSG00000081534	Slc48a1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	91070265	91070931	0.0	-283	68427.0	NM_026721	ENSMUSG00000002105	Slc39a13	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	30553144	30553470	245.776	-7991	66694.0	NM_025710	ENSMUSG00000038462	Uqcrfs1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr15	97776597	97777189	237.257	-7472	67739.0	NM_026353	ENSMUSG00000081534	Slc48a1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19802931	19803581	0.0	-6447	80794.0	NM_023224	ENSMUSG00000040525	Cblc	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chrX	169986707	169987585	0.0	-8229	654820.0	NM_001039559	ENSMUSG00000072844	G530011O06Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	52211196	52211950	0.0	1494	15400.0	NM_010452	ENSMUSG00000079560	Hoxa3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	91065471	91065940	251.232	4609	68427.0	NM_026721	ENSMUSG00000002105	Slc39a13	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19800874	19801492	0.0	-4374	80794.0	NM_023224	ENSMUSG00000040525	Cblc	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	43982401	43983124	0.0	-741	442829.0	NM_001002787	ENSMUSG00000070999	Ccin	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	30548884	30549598	0.0	-3925	66694.0	NM_025710	ENSMUSG00000038462	Uqcrfs1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr15	97767784	97768379	215.298	-416	223864.0	NM_144850	ENSMUSG00000022469	Rapgef3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19797043	19797733	0.0	-579	80794.0	NM_023224	ENSMUSG00000040525	Cblc	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr14	105902911	105903334	147.21	-6304	24064.0	NM_011897	ENSMUSG00000022114	Spry2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	23852949	23853203	157.432	843	100217436.0	NR_028536	nan	Snord93	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19790007	19790520	0.0	6545	80794.0	NM_023224	ENSMUSG00000040525	Cblc	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	43958106	43958453	80.716	578	384009.0	NM_027450	ENSMUSG00000028480	Glipr2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	91061229	91061637	220.867	7417	19182.0	NM_008948	ENSMUSG00000002102	Psmc3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr10	127164933	127165400	0.0	11	14421.0	NM_008080	ENSMUSG00000006731	B4galnt1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr15	97717781	97718548	0.0	2985	19011.0	NM_008902	ENSMUSG00000022468	Endou	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19749392	19750393	286.285	-320	19294.0	NM_008990	ENSMUSG00000062300	Nectin2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	59330596	59330989	267.206	23863	237775.0	NM_178417	ENSMUSG00000054519	Zfp867	Distal	5793.0	1.0	Interaction_anno	nan	-1.0	-2526.0
chr5	23850279	23850734	0.0	-90	67194.0	NR_045040	ENSMUSG00000097180	2700038G22Rik	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	91053889	91054408	177.381	133	19182.0	NM_008948	ENSMUSG00000002102	Psmc3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr1	4780149	4780847	169.401	5228	27395.0	NM_025300	ENSMUSG00000033845	Mrpl15	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19715516	19716384	172.394	-521	53333.0	NM_016871	ENSMUSG00000002984	Tomm40	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	59302751	59303018	198.334	-4045	237775.0, 216795.0	NM_178417, NM_139298	ENSMUSG00000054519, ENSMUSG00000000126	Zfp867, Wnt9a	Proximal, Proximal	-22115.0, nan	-4.0, nan	Interaction_anno, Proximal_anno	nan, nan	-1.0, nan	-2526.0, nan
chr4	43957175	43957772	0.0	-228	384009.0	NM_027450	ENSMUSG00000028480	Glipr2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	91032910	91033644	291.169	-2350	19400.0	NM_009023	ENSMUSG00000002104	Rapsn	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19712658	19713734	179.377	2233	53333.0	NM_016871	ENSMUSG00000002984	Tomm40	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	23787328	23788077	0.0	-8	72772.0	NM_177323	ENSMUSG00000028999	Rint1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	152333007	152333283	0.0	-5506	269610.0	NM_029216	ENSMUSG00000005045	Chd5	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr17	3114325	3115331	0.0	-144	106583.0	NM_134123	ENSMUSG00000046201	Scaf8	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19668744	19670087	0.0	-4386	56457.0	NM_019649	ENSMUSG00000002981	Clptm1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	90940135	90940570	0.0	-44	13046.0	NM_017368	ENSMUSG00000005506	Celf1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr16	38344948	38345197	132.506	-1926	12856.0	NM_001017429	ENSMUSG00000046516	Cox17	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr17	3082812	3083707	0.0	923	328734.0	NR_003519	nan	Pisd-ps2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr12	111165250	111165498	89.672	-996	22031.0	NM_011632	ENSMUSG00000021277	Traf3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	59300087	59300592	154.441	-6590	216795.0, 237775.0	NM_139298, NM_178417	ENSMUSG00000000126, ENSMUSG00000054519	Wnt9a, Zfp867	Proximal, Proximal	nan, -24660.0	nan, -5.0	Proximal_anno, Interaction_anno	nan, nan	nan, -1.0	nan, -2526.0
chr6	51592808	51593033	0.0	47628	15405.0	NM_010456	ENSMUSG00000038227	Hoxa9	Distal	17921.0	4.0	Interaction_anno	nan	0.0	2370.0
chr2	90904278	90904966	101.619	99	68349.0	NM_026688	ENSMUSG00000005510	Ndufs3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19628750	19629123	68.784	501	19698.0	NM_009046	ENSMUSG00000002983	Relb	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	51585916	51586303	0.0	40817	15405.0	NM_010456	ENSMUSG00000038227	Hoxa9	Distal	11110.0	2.0	Interaction_anno	nan	0.0	2370.0
chr19	46135114	46135779	0.0	3548	12686.0	NM_007703	ENSMUSG00000038754	Elovl3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	59230319	59231012	301.601	-2399	11840.0	NM_007476	ENSMUSG00000048076	Arf1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	43861199	43861707	0.0	7161	29845.0	NM_019473	ENSMUSG00000071000	Olfr155	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	51580369	51580939	0.0	35361	15405.0	NM_010456	ENSMUSG00000038227	Hoxa9	Distal	5654.5	1.0	Interaction_anno	nan	0.0	2370.0
chr7	142169901	142170323	86.686	5893	71623.0	NM_027844	ENSMUSG00000054759	Krtap5-2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	28959519	28960076	0.0	-6099	20677.0	NM_009238	ENSMUSG00000076431	Sox4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	59219167	59219507	147.21	8825	11840.0	NM_007476	ENSMUSG00000048076	Arf1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr15	97236829	97237800	0.0	-9792	239647.0	NM_172293	ENSMUSG00000044250	Pced1b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	28957700	28958650	0.0	-4476	20677.0	NM_009238	ENSMUSG00000076431	Sox4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	43763481	43763920	244.244	7308	29849.0	NM_019476	ENSMUSG00000044801	Olfr159	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	119081772	119082149	155.438	4276	12418.0	NM_007625	ENSMUSG00000039989	Cbx4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19559072	19559556	139.257	3084	232947.0	NM_199149	ENSMUSG00000051403	Ppp1r37	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	28950359	28950748	100.623	3145	20677.0	NM_009238	ENSMUSG00000076431	Sox4	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	59183909	59184365	144.469	-924	118454.0	NM_080454	ENSMUSG00000043448	Gjc2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	51384019	51384259	279.187	4429	625167.0	NR_110455	ENSMUSG00000107660	Gm6559	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	90474610	90475447	0.0	4145	19271.0, 59015.0	NM_008982, NM_021512	ENSMUSG00000025314, ENSMUSG00000051329	Ptprj, Nup160	Proximal, Proximal	nan, 29.0	nan, 0.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -2215.0
chr7	19518019	19518292	67.79	-575	69547.0	NM_027116	ENSMUSG00000060621	Nkpd1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	43745194	43745663	273.684	-6430	319973.0	NR_040667	nan	A630077J23Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19503323	19503837	0.0	4790	232946.0	NM_177692	ENSMUSG00000057667	Bloc1s3	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	58981887	58982390	0.0	4046	94091.0	NM_053168	ENSMUSG00000020455	Trim11	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19461377	19461991	0.0	-1603	74463.0	NM_028954	ENSMUSG00000011263	Exoc3l2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	43724858	43725240	137.269	-2149	100039781.0	NM_027511	ENSMUSG00000071001	Hrct1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	58967328	58967723	209.311	3745	56631.0	NM_031172	ENSMUSG00000036964	Trim17	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19458127	19458431	213.302	564	232944.0	NM_172279	ENSMUSG00000030397	Mark4	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	43711896	43712428	0.0	-5596	56015.0	NM_019486	ENSMUSG00000046450	Olfr71	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	58954659	58955412	224.281	351	319162.0	NM_178218	ENSMUSG00000078851	Hist3h2a	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr10	127124839	127126005	0.0	-4262	216440.0	NM_177614	ENSMUSG00000040462	Os9	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19405145	19405870	0.0	-1404	232943.0	NM_146182	ENSMUSG00000040714	Klc3	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	43672060	43672637	0.0	3042	242409.0	NM_001085508	ENSMUSG00000078716	Tmem8b	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19369927	19370601	0.0	9048	333654.0	NM_001010836	ENSMUSG00000040734	Ppp1r13l	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	51170645	51171540	307.146	98817	15405.0	NM_010456	ENSMUSG00000038227	Hoxa9	Distal	-3907.0	-1.0	Interaction_anno	nan	0.0	2370.0
chr16	36875057	36875492	105.603	-449	106389.0	NM_134111	ENSMUSG00000022838	Eaf2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19363958	19364535	0.0	3031	333654.0	NM_001010836	ENSMUSG00000040734	Ppp1r13l	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	43629974	43630758	0.0	-1569	230103.0	NM_173788	ENSMUSG00000028469	Npr2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	21736766	21737351	0.0	-101	73078.0	NM_028431	ENSMUSG00000029017	Pmpcb	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	58931703	58931904	62.822	7102	108660.0	NM_022423	ENSMUSG00000020496	Rnf187	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	24988466	24988975	254.227	8666	114482816.0	NR_162783	nan	Mir12184	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19361825	19362295	0.0	844	333654.0	NM_001010836	ENSMUSG00000040734	Ppp1r13l	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr6	51168049	51168324	130.513	101723	15405.0	NM_010456	ENSMUSG00000038227	Hoxa9	Distal	-6813.0	-1.0	Interaction_anno	nan	0.0	2370.0
chr5	21735706	21736025	179.377	-1294	73078.0	NM_028431	ENSMUSG00000029017	Pmpcb	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	144040644	144041170	0.0	9702	18261.0	NM_033039	ENSMUSG00000029618	Ocm	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	43530573	43530973	0.0	-7219	22004.0	NM_009416	ENSMUSG00000028464	Tpm2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19342178	19344212	0.0	-1876	13870.0, 72205.0	NM_007948, NM_028153	ENSMUSG00000003549, ENSMUSG00000040811	Ercc1, Eml2	Promoter, Promoter	nan, 18195.5	nan, 4.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -1421.0
chr16	36817389	36817716	209.311	-8848	106389.0	NM_134111	ENSMUSG00000022838	Eaf2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	24938710	24939151	0.0	-1270	214579.0	NM_172532	ENSMUSG00000035936	Aldh5a1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr7	19308418	19308807	189.354	1432	14282.0, 72205.0	NM_008036, NM_028153	ENSMUSG00000003545, ENSMUSG00000040811	Fosb, Eml2	Promoter, Promoter	nan, -16387.0	nan, -3.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -1421.0
chr4	43528015	43528867	193.977	-4887	22004.0	NM_009416	ENSMUSG00000028464	Tpm2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr5	21701247	21701729	82.706	-92	242864.0	NM_178728	ENSMUSG00000044968	Napepld	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr13	24937536	24937763	118.553	11	214579.0	NM_172532	ENSMUSG00000035936	Aldh5a1	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	58916849	58917530	0.0	-718	192194.0	NM_138678	ENSMUSG00000020490	Btnl10	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr2	84889830	84890581	0.0	-3514	269295.0	NM_199223	ENSMUSG00000050896	Rtn4rl2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19303739	19304341	0.0	6005	72205.0, 14282.0	NM_028153, NM_008036	ENSMUSG00000040811, ENSMUSG00000003545	Eml2, Fosb	Proximal, Proximal	-20959.5, nan	-4.0, nan	Interaction_anno, Proximal_anno	nan, nan	-0.0, nan	-1421.0, nan
chr14	105898819	105899207	0.0	-2194	24064.0	NM_011897	ENSMUSG00000022114	Spry2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	58914773	58915334	0.0	-2854	192194.0	NM_138678	ENSMUSG00000020490	Btnl10	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19300572	19301212	0.0	9153	14282.0, 72205.0	NM_008036, NM_028153	ENSMUSG00000003545, ENSMUSG00000040811	Fosb, Eml2	Proximal, Proximal	nan, -24107.5	nan, -5.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -1421.0
chr4	43479322	43479991	143.472	4052	54390.0	NM_019436	ENSMUSG00000028460	Sit1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19299277	19300029	303.211	8584	20167.0, 72205.0	NM_013648, NM_028153	ENSMUSG00000030401, ENSMUSG00000040811	Rtn2, Eml2	Proximal, Proximal	nan, -25346.5	nan, -5.0	Proximal_anno, Interaction_anno	nan, nan	nan, -0.0	nan, -1421.0
chr5	21645697	21646113	62.822	-101	67211.0	NM_026034	ENSMUSG00000038525	Armc10	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	58643329	58643944	0.0	3172	216781.0	NM_001039047	ENSMUSG00000037124	Trim58	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19295661	19296359	0.0	4941	20167.0	NM_013648	ENSMUSG00000030401	Rtn2	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr4	43478177	43478824	277.19	5208	54390.0	NM_019436	ENSMUSG00000028460	Sit1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr13	24800666	24801310	308.144	-669	79555.0	NM_024473	ENSMUSG00000019132	BC005537	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr11	58636679	58637163	0.0	-3544	216781.0	NM_001039047	ENSMUSG00000037124	Trim58	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19284752	19285278	303.151	2391	20167.0	NM_013648	ENSMUSG00000030401	Rtn2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr18	73762618	73763247	239.797	-8454	114615.0	NM_053255	ENSMUSG00000036941	Elac1	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	35939629	35940353	0.0	-964	209200.0	NM_001013371	ENSMUSG00000049502	Dtx3l	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr5	21641015	21641641	0.0	4277	320118.0	NM_177076	ENSMUSG00000048520	Fbxl13	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	84831650	84832151	238.255	4880	30059.0	NM_013899	ENSMUSG00000027076	Timm10	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19281750	19282302	0.0	-598	20167.0	NM_013648	ENSMUSG00000030401	Rtn2	Promoter	nan	nan	Proximal_anno	nan	nan	nan
chr4	43457305	43457663	108.591	-2858	12517.0	NM_007654	ENSMUSG00000028459	Cd72	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr6	50601652	50602200	263.212	-5336	70821.0	NM_027564	ENSMUSG00000029828	4921507P07Rik	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr7	19239417	19240009	0.0	-9722	102637572.0	NM_001370864	nan	Gm38499	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr16	35874407	35874773	289.636	-3208	547253.0	NM_001039530	ENSMUSG00000034422	Parp14	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr11	58301288	58302324	0.0	-5263	103836.0	NM_182996	ENSMUSG00000037243	Zfp692	Proximal	nan	nan	Proximal_anno	nan	nan	nan
chr2	84799276	84800009	208.914	815	56791.0	NM_019949	ENSMUSG00000027078	Ube2l6	Promoter	nan	nan	Proximal_anno	nan	nan	nan
